"","taxon_id","NorthAmcaFreq","library","samples_reactive","total_peps"
"1","ivig_1166",136,"dolphyn",0,258
"2","ivig_1166",136,"pepsyn",21,1145
"3","ivig_1427",456,"dolphyn",6,84
"4","ivig_1427",456,"pepsyn",37,410
"5","ivig_2154",76,"dolphyn",0,242
"6","ivig_2154",76,"pepsyn",21,1078
"7","ivig_2475",73,"dolphyn",0,77
"8","ivig_2475",73,"pepsyn",33,341
"9","ivig_2643",75,"dolphyn",0,79
"10","ivig_2643",75,"pepsyn",32,353
"11","ivig_2749",170,"dolphyn",0,253
"12","ivig_2749",170,"pepsyn",18,1107
"13","ivig_2899",173,"dolphyn",0,256
"14","ivig_2899",173,"pepsyn",18,1119
"15","ivig_3353",82,"dolphyn",0,278
"16","ivig_3353",82,"pepsyn",17,1228
"17","ivig_3679",108,"dolphyn",0,92
"18","ivig_3679",108,"pepsyn",0,442
"19","ivig_3875",80,"dolphyn",0,66
"20","ivig_3875",80,"pepsyn",0,263
"21","ivig_4176",53,"dolphyn",0,127
"22","ivig_4176",53,"pepsyn",0,530
"23","ivig_4424",139,"dolphyn",2,88
"24","ivig_4424",139,"pepsyn",30,450
"25","ivig_4427",71,"dolphyn",6,63
"26","ivig_4427",71,"pepsyn",37,323
"27","ivig_464",64,"dolphyn",0,72
"28","ivig_464",64,"pepsyn",0,311
"29","ivig_601",130,"dolphyn",0,248
"30","ivig_601",130,"pepsyn",21,1103
"31","ivig_896",87,"dolphyn",0,351
"32","ivig_896",87,"pepsyn",14,1563
"33","uvig_193528",113,"dolphyn",0,92
"34","uvig_193528",113,"pepsyn",0,443
"35","uvig_205260",490,"dolphyn",6,145
"36","uvig_205260",490,"pepsyn",38,687
"37","uvig_211095",95,"dolphyn",0,91
"38","uvig_211095",95,"pepsyn",0,437
"39","uvig_250342",497,"dolphyn",5,153
"40","uvig_250342",497,"pepsyn",38,744
"41","uvig_267525",72,"dolphyn",0,102
"42","uvig_267525",72,"pepsyn",0,453
"43","uvig_271818",75,"dolphyn",0,146
"44","uvig_271818",75,"pepsyn",0,668
"45","uvig_272223",73,"dolphyn",0,130
"46","uvig_272223",73,"pepsyn",0,603
"47","uvig_29025",61,"dolphyn",0,99
"48","uvig_29025",61,"pepsyn",0,474
"49","uvig_295951",115,"dolphyn",0,72
"50","uvig_295951",115,"pepsyn",0,323
"51","uvig_297199",75,"dolphyn",0,250
"52","uvig_297199",75,"pepsyn",21,1111
"53","uvig_315082",52,"dolphyn",2,126
"54","uvig_315082",52,"pepsyn",34,567
"55","uvig_315372",110,"dolphyn",6,76
"56","uvig_315372",110,"pepsyn",37,382
"57","uvig_354716",57,"dolphyn",0,77
"58","uvig_354716",57,"pepsyn",11,366
"59","uvig_354750",120,"dolphyn",0,68
"60","uvig_354750",120,"pepsyn",0,306
"61","uvig_354753",66,"dolphyn",4,77
"62","uvig_354753",66,"pepsyn",18,311
"63","uvig_354790",72,"dolphyn",3,174
"64","uvig_354790",72,"pepsyn",33,822
"65","uvig_354826",176,"dolphyn",0,106
"66","uvig_354826",176,"pepsyn",0,471
"67","uvig_355148",56,"dolphyn",0,77
"68","uvig_355148",56,"pepsyn",11,366
"69","uvig_355218",56,"dolphyn",0,77
"70","uvig_355218",56,"pepsyn",11,366
"71","uvig_355286",62,"dolphyn",0,208
"72","uvig_355286",62,"pepsyn",0,957
"73","uvig_355478",303,"dolphyn",0,93
"74","uvig_355478",303,"pepsyn",0,359
"75","uvig_355854",138,"dolphyn",0,98
"76","uvig_355854",138,"pepsyn",0,453
"77","uvig_355947",133,"dolphyn",0,98
"78","uvig_355947",133,"pepsyn",0,454
"79","uvig_356033",57,"dolphyn",0,109
"80","uvig_356033",57,"pepsyn",0,523
"81","uvig_356226",66,"dolphyn",5,94
"82","uvig_356226",66,"pepsyn",36,442
"83","uvig_356259",78,"dolphyn",0,143
"84","uvig_356259",78,"pepsyn",0,666
"85","uvig_356375",136,"dolphyn",0,98
"86","uvig_356375",136,"pepsyn",0,454
"87","uvig_356500",63,"dolphyn",0,128
"88","uvig_356500",63,"pepsyn",0,536
"89","uvig_356526",65,"dolphyn",1,86
"90","uvig_356526",65,"pepsyn",0,339
"91","uvig_356750",67,"dolphyn",1,73
"92","uvig_356750",67,"pepsyn",44,329
"93","uvig_356792",80,"dolphyn",0,149
"94","uvig_356792",80,"pepsyn",0,628
"95","uvig_356912",127,"dolphyn",0,98
"96","uvig_356912",127,"pepsyn",0,454
"97","uvig_356955",81,"dolphyn",0,211
"98","uvig_356955",81,"pepsyn",0,902
"99","uvig_356969",54,"dolphyn",0,77
"100","uvig_356969",54,"pepsyn",11,366
"101","uvig_357328",621,"dolphyn",6,74
"102","uvig_357328",621,"pepsyn",32,370
"103","uvig_357441",174,"dolphyn",0,170
"104","uvig_357441",174,"pepsyn",5,748
"105","uvig_357534",183,"dolphyn",0,171
"106","uvig_357534",183,"pepsyn",1,695
"107","uvig_357645",54,"dolphyn",0,56
"108","uvig_357645",54,"pepsyn",1,259
"109","uvig_357814",178,"dolphyn",0,166
"110","uvig_357814",178,"pepsyn",1,682
"111","uvig_357864",56,"dolphyn",0,186
"112","uvig_357864",56,"pepsyn",9,765
"113","uvig_358303",53,"dolphyn",0,105
"114","uvig_358303",53,"pepsyn",0,492
"115","uvig_358476",135,"dolphyn",0,98
"116","uvig_358476",135,"pepsyn",0,454
"117","uvig_358682",51,"dolphyn",0,85
"118","uvig_358682",51,"pepsyn",0,371
"119","uvig_358797",88,"dolphyn",14,116
"120","uvig_358797",88,"pepsyn",45,536
"121","uvig_358852",124,"dolphyn",0,98
"122","uvig_358852",124,"pepsyn",0,454
"123","uvig_359213",62,"dolphyn",1,73
"124","uvig_359213",62,"pepsyn",31,380
"125","uvig_359217",117,"dolphyn",0,68
"126","uvig_359217",117,"pepsyn",0,306
"127","uvig_359377",127,"dolphyn",0,98
"128","uvig_359377",127,"pepsyn",0,454
"129","uvig_359554",55,"dolphyn",0,56
"130","uvig_359554",55,"pepsyn",1,259
"131","uvig_359660",58,"dolphyn",6,81
"132","uvig_359660",58,"pepsyn",38,370
"133","uvig_372157",72,"dolphyn",0,125
"134","uvig_372157",72,"pepsyn",0,509
"135","uvig_375837",171,"dolphyn",0,72
"136","uvig_375837",171,"pepsyn",0,304
"137","uvig_379414",55,"dolphyn",0,62
"138","uvig_379414",55,"pepsyn",38,316
"139","uvig_385029",618,"dolphyn",8,189
"140","uvig_385029",618,"pepsyn",36,878
"141","uvig_395307",53,"dolphyn",14,116
"142","uvig_395307",53,"pepsyn",45,534
"143","uvig_395437",159,"dolphyn",0,131
"144","uvig_395437",159,"pepsyn",0,538
"145","uvig_396640",62,"dolphyn",0,133
"146","uvig_396640",62,"pepsyn",0,513
"147","uvig_396758",54,"dolphyn",0,56
"148","uvig_396758",54,"pepsyn",0,200
"149","uvig_396772",508,"dolphyn",4,159
"150","uvig_396772",508,"pepsyn",38,769
"151","uvig_409788",163,"dolphyn",0,249
"152","uvig_409788",163,"pepsyn",20,1129
"153","uvig_418132",61,"dolphyn",0,130
"154","uvig_418132",61,"pepsyn",20,509
"155","uvig_428798",71,"dolphyn",0,204
"156","uvig_428798",71,"pepsyn",20,937
"157","uvig_429042",83,"dolphyn",4,76
"158","uvig_429042",83,"pepsyn",30,401
"159","uvig_429694",281,"dolphyn",6,87
"160","uvig_429694",281,"pepsyn",30,398
"161","uvig_453409",69,"dolphyn",0,140
"162","uvig_453409",69,"pepsyn",0,635
"163","uvig_506411",59,"dolphyn",0,127
"164","uvig_506411",59,"pepsyn",0,529
"165","uvig_533353",97,"dolphyn",0,93
"166","uvig_533353",97,"pepsyn",0,450
"167","uvig_552393",108,"dolphyn",0,91
"168","uvig_552393",108,"pepsyn",0,444
"169","uvig_558569",62,"dolphyn",0,94
"170","uvig_558569",62,"pepsyn",0,408
"171","uvig_577424",68,"dolphyn",0,98
"172","uvig_577424",68,"pepsyn",0,387
"173","uvig_577448",61,"dolphyn",0,95
"174","uvig_577448",61,"pepsyn",0,369
"175","uvig_578788",88,"dolphyn",0,84
"176","uvig_578788",88,"pepsyn",32,391
